Item,Job_Title,Company_Name,Location,Url
1,Backend Developer - Istanbul,Deloitte,Greater Istanbul,https://tr.linkedin.com/jobs/view/backend-developer-istanbul-at-deloitte-4280173265?position=1&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=3nxozEWhi6Um58EqntOBlw%3D%3D
2,Software Engineer (New Grad),Dream Games,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-new-grad-at-dream-games-3976007336?position=2&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=FP7zk3xm%2B2IlcOtgNzahMg%3D%3D
3,Web Ön Yüz Geliştirici,Aselsan,"Ankara, Türkiye",https://tr.linkedin.com/jobs/view/web-%C3%B6n-y%C3%BCz-geli%C5%9Ftirici-at-aselsan-4282813681?position=3&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=1BT1k8%2FHfLceCQj2R8NQ5A%3D%3D
4,Software Developer,LC Waikiki,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-at-lc-waikiki-4290372625?position=4&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=YcVOcE5F72isnC0Om5H6rg%3D%3D
5,Software Developer,LC Waikiki,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-at-lc-waikiki-4286702894?position=5&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=tnqbZw%2Fkb1LNptJwgAbR6g%3D%3D
6,Backend Developer,Scorp,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/backend-developer-at-scorp-4247355023?position=6&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=%2B8Hfah2UopzWYUhurbtqXw%3D%3D
7,Junior Backend Developer,PlusMinusOne,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/junior-backend-developer-at-plusminusone-4281252575?position=7&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=KYOLX1YmuJHHGtfwpIr3Ng%3D%3D
8,Software Developer,LC Waikiki,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-at-lc-waikiki-4290369488?position=8&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=f1y7fnVyFKQY%2BGy%2FrydwvA%3D%3D
9,Yazılım Geliştirme Lideri,KoçSistem,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-geli%C5%9Ftirme-lideri-at-ko%C3%A7sistem-4279891314?position=9&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=Kw4embJVzII5t3fMQp%2FRBQ%3D%3D
10,Junior Software Engineer(Full-Stack),Arc Corp,"Ankara, Ankara, Türkiye",https://tr.linkedin.com/jobs/view/junior-software-engineer-full-stack-at-arc-corp-4287130621?position=10&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=thOGrI3BMv2BUavMgbaoMg%3D%3D
